time_s,lat,lon,alt_m,phase
1370.0,35.706239,10.326315,8011.0,ascent
1380.0,35.706878,10.329929,8069.0,ascent
1390.0,35.707662,10.333112,8127.0,ascent
1400.0,35.708329,10.336712,8185.0,ascent
1410.0,35.709279,10.340114,8243.0,ascent
1420.0,35.709929,10.343732,8301.0,ascent
1430.0,35.710653,10.346982,8359.0,ascent
1440.0,35.711363,10.35052,8417.0,ascent
1450.0,35.712086,10.353979,8475.0,ascent
1460.0,35.712782,10.357482,8533.0,ascent
1470.0,35.713985,10.361145,8591.0,ascent
1480.0,35.714699,10.364702,8649.0,ascent
1490.0,35.715528,10.368353,8707.0,ascent
1500.0,35.716185,10.37169,8765.0,ascent
1510.0,35.717291,10.375577,8823.0,ascent
1520.0,35.718171,10.379412,8881.0,ascent
1530.0,35.719136,10.383059,8939.0,ascent
1540.0,35.719731,10.386798,8997.0,ascent
1550.0,35.720266,10.390718,9055.0,ascent
1560.0,35.721016,10.394686,9113.0,ascent
1570.0,35.721768,10.398749,9171.0,ascent
1580.0,35.722589,10.402594,9229.0,ascent
1590.0,35.723425,10.406268,9287.0,ascent
1600.0,35.724358,10.410074,9345.0,ascent
1610.0,35.725105,10.413885,9403.0,ascent
1620.0,35.72569,10.417797,9461.0,ascent
1630.0,35.726278,10.421817,9519.0,ascent
1640.0,35.726873,10.425173,9577.0,ascent
1650.0,35.727529,10.428573,9635.0,ascent
1660.0,35.728069,10.432495,9693.0,ascent
1670.0,35.728781,10.43594,9751.0,ascent
1680.0,35.729533,10.439495,9809.0,ascent
1690.0,35.730017,10.442975,9867.0,ascent
1700.0,35.730482,10.446781,9925.0,ascent
1710.0,35.730897,10.449948,9983.0,ascent
1720.0,35.731334,10.453529,10041.0,ascent
1730.0,35.732187,10.457268,10099.0,ascent
1740.0,35.732552,10.460712,10157.0,ascent
1750.0,35.732761,10.463983,10215.0,ascent
1760.0,35.733073,10.467577,10273.0,ascent
1770.0,35.733359,10.470991,10331.0,ascent
1780.0,35.733744,10.474667,10389.0,ascent
1790.0,35.734093,10.478186,10447.0,ascent
1800.0,35.734466,10.481492,10505.0,ascent
1810.0,35.73476,10.48492,10563.0,ascent
1820.0,35.735276,10.488495,10621.0,ascent
1830.0,35.73538,10.491915,10679.0,ascent
1840.0,35.735789,10.495178,10737.0,ascent
1850.0,35.73596,10.498619,10795.0,ascent
1860.0,35.736044,10.502019,10853.0,ascent
1870.0,35.73619,10.505543,10911.0,ascent
1880.0,35.7361,10.509003,10969.0,ascent
1890.0,35.736609,10.512263,11027.0,ascent
1900.0,35.736912,10.51585,11085.0,ascent
1910.0,35.736929,10.519191,11143.0,ascent
1920.0,35.737262,10.522207,11201.0,ascent
1930.0,35.737523,10.52522,11259.0,ascent
1940.0,35.73761,10.52857,11317.0,ascent
1950.0,35.737955,10.531851,11375.0,ascent
1960.0,35.738063,10.534722,11433.0,ascent
1970.0,35.738116,10.537879,11491.0,ascent
1980.0,35.738202,10.541209,11549.0,ascent
1990.0,35.738263,10.544533,11607.0,ascent
2000.0,35.738438,10.5478,11665.0,ascent
2010.0,35.738474,10.550945,11723.0,ascent
2020.0,35.73858,10.554231,11781.0,ascent
2030.0,35.738653,10.557455,11839.0,ascent
2040.0,35.738566,10.560564,11897.0,ascent
2050.0,35.738729,10.56336,11955.0,ascent
2060.0,35.73901,10.566207,12013.0,ascent
2070.0,35.738901,10.569175,12071.0,ascent
2080.0,35.738848,10.572183,12129.0,ascent
2090.0,35.738626,10.575366,12187.0,ascent
2100.0,35.738402,10.57835,12245.0,ascent
2110.0,35.738444,10.581348,12303.0,ascent
2120.0,35.738551,10.584219,12361.0,ascent
2130.0,35.738511,10.587028,12419.0,ascent
2140.0,35.738187,10.590036,12477.0,ascent
2150.0,35.73804,10.592725,12535.0,ascent
2160.0,35.737871,10.59544,12593.0,ascent
2170.0,35.737961,10.598269,12651.0,ascent
2180.0,35.737888,10.601226,12709.0,ascent
2190.0,35.737864,10.603956,12767.0,ascent
2200.0,35.737658,10.606635,12825.0,ascent
2210.0,35.737449,10.609357,12883.0,ascent
2220.0,35.737108,10.612112,12941.0,ascent
2230.0,35.737087,10.61478,12999.0,ascent
2240.0,35.736915,10.617608,13057.0,ascent
2250.0,35.736647,10.620407,13115.0,ascent
2260.0,35.73639,10.623018,13173.0,ascent
2270.0,35.735888,10.625832,13231.0,ascent
2280.0,35.735633,10.628424,13289.0,ascent
2290.0,35.735471,10.631136,13347.0,ascent
2300.0,35.735216,10.633716,13405.0,ascent
2310.0,35.735041,10.636282,13463.0,ascent
2320.0,35.734995,10.638594,13521.0,ascent
2330.0,35.734778,10.64093,13579.0,ascent
2340.0,35.734301,10.643289,13637.0,ascent
2350.0,35.734097,10.645856,13695.0,ascent
